,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
254,Ricky Williams\WillRi00,2003,26,1-5,MIA,NFL,16,16,232.3,282.3,14.52,17.64,0,0,0,0,0,392,1372,9,50,351,1,7
255,Ricky Watters\WattRi00,1993,24,2-45,SFO,NFL,13,13,188.6,219.6,14.51,16.89,0,0,0,0,0,208,950,10,31,326,1,5
256,Pete Johnson\JohnPe00,1981,27,2-49,CIN,NFL,16,16,231.7,277.7,14.48,17.36,0,0,0,0,0,274,1077,12,46,320,4,4
257,Pete Johnson\JohnPe00,1982,28,2-49,CIN,NFL,9,9,129.9,160.9,14.43,17.88,0,0,0,0,0,156,622,7,31,267,0,1
258,Todd Gurley\GurlTo01,2015,21,1-10,STL,NFL,13,12,187.4,208.4,14.42,16.03,0,0,0,0,0,229,1106,10,21,188,0,3
259,Adrian Peterson\PeteAd01,2015,30,1-7,MIN,NFL,16,16,230.7,260.7,14.42,16.29,0,0,0,0,0,327,1485,11,30,222,0,7
260,Eddie Lacy\LacyEd00,2014,24,2-61,GNB,NFL,16,16,230.6,272.6,14.41,17.04,0,0,0,0,0,246,1139,9,42,427,4,3
261,Natrone Means\MeanNa00,1994,22,2-41,SDG,NFL,16,16,230.5,269.5,14.41,16.84,0,1,0,0,0,343,1350,12,39,235,0,5
262,Corey Dillon\DillCo00,2001,27,2-43,CIN,NFL,16,16,230.3,264.3,14.39,16.52,0,1,0,0,1,340,1315,10,34,228,3,5
263,Matt Forte\FortMa00,2011,26,2-44,CHI,NFL,12,12,172.7,224.7,14.39,18.73,0,1,0,0,0,203,997,3,52,490,1,2
264,Devonta Freeman\FreeDe00,2016,24,4-103,ATL,NFL,16,16,230.1,284.1,14.38,17.76,0,0,0,0,0,227,1079,11,54,462,2,1
265,Melvin Gordon\GordMe00,2017,24,1-15,LAC,NFL,16,16,230.1,288.1,14.38,18.01,0,0,0,0,0,284,1105,8,58,476,4,1
266,Thomas Jones\JoneTh00,2009,31,1-7,NYJ,NFL,16,16,230.0,240.0,14.38,15.00,0,0,0,0,0,331,1402,14,10,58,0,2
267,Travis Henry\HenrTr00,2003,25,2-58,BUF,NFL,15,15,215.4,243.4,14.36,16.23,0,1,0,0,1,331,1356,10,28,158,1,7
268,Walter Payton*\PaytWa00,1986,32,1-4,CHI,NFL,16,16,229.5,266.5,14.34,16.66,0,4,0,0,1,321,1333,8,37,382,3,6
269,James Brooks\BrooJa00,1986,28,1-24,CIN,NFL,16,16,229.3,283.3,14.33,17.71,0,1,0,0,0,205,1087,5,54,686,4,2
270,Greg Bell\BellGr00,1986,24,1-26,BUF,NFL,6,6,85.9,97.9,14.32,16.32,0,0,0,0,0,90,377,4,12,142,2,2
271,Chris Brown\BrowCh03,2004,23,3-93,TEN,NFL,11,11,157.4,177.4,14.31,16.13,0,0,0,0,0,220,1067,6,20,147,0,6
272,Joe Mixon\MixoJo00,2018,22,2-48,CIN,NFL,14,13,200.4,243.4,14.31,17.39,0,0,0,0,0,237,1168,8,43,296,1,0
273,Marcus Allen*\AlleMa00,1983,23,1-10,RAI,NFL,16,15,228.8,296.8,14.30,18.55,4,7,111,3,0,266,1014,9,68,590,2,14
274,Tony Dorsett*\DorsTo00,1985,31,1-2,DAL,NFL,16,16,228.6,274.6,14.29,17.16,0,0,0,0,0,305,1307,7,46,449,3,7
275,Jahvid Best\BestJa00,2011,22,1-30,DET,NFL,6,6,85.7,112.7,14.28,18.78,0,0,0,0,0,84,390,2,27,287,1,0
276,Curt Warner\WarnCu00,1987,26,1-3,SEA,NFL,12,12,171.2,188.2,14.27,15.68,0,0,0,0,0,234,985,8,17,167,2,4
277,Christian Okoye\OkoyCh00,1989,28,2-35,KAN,NFL,15,14,213.2,215.2,14.21,14.35,0,0,0,0,0,370,1480,12,2,12,0,8
278,Eddie Lee Ivery\IverEd00,1981,24,1-15,GNB,NFL,1,1,14.2,16.2,14.20,16.20,0,0,0,0,0,14,72,1,2,10,0,0
279,Rudi Johnson\JohnRu00,2005,26,4-100,CIN,NFL,16,14,226.8,249.8,14.18,15.61,0,0,0,0,0,337,1458,12,23,90,0,1
280,Ronnie Brown\BrowRo05,2009,28,1-2,MIA,NFL,9,9,127.5,141.5,14.17,15.72,2,6,22,1,0,147,648,8,14,98,0,1
281,Tiki Barber\BarbTi00,2000,25,2-36,NYG,NFL,16,12,226.5,296.5,14.16,18.53,0,0,0,0,0,213,1006,8,70,719,1,9
282,Eric Dickerson*\DickEr00,1985,25,1-2,RAM,NFL,14,14,198.0,218.0,14.14,15.57,0,0,0,0,0,292,1234,12,20,126,0,10
283,Eddie George\GeorEd00,2002,29,1-14,TEN,NFL,16,16,226.0,262.0,14.13,16.38,0,0,0,0,0,343,1165,12,36,255,2,1
284,LeGarrette Blount\BlouLe00,2016,30,,NWE,NFL,16,8,225.9,232.9,14.12,14.56,0,0,0,0,0,299,1161,18,7,38,0,2
285,Corey Dillon\DillCo00,2005,31,2-43,NWE,NFL,12,10,169.4,191.4,14.12,15.95,0,0,0,0,0,209,733,12,22,181,1,1
286,Steve Slaton\SlatSt00,2008,22,3-89,HOU,NFL,16,15,225.9,275.9,14.12,17.24,0,0,0,0,0,268,1282,9,50,377,1,3
287,Rudi Johnson\JohnRu00,2004,25,4-100,CIN,NFL,16,16,225.8,240.8,14.11,15.05,0,0,0,0,0,361,1454,12,15,84,0,4
288,LaDainian Tomlinson*\TomlLa00,2008,29,1-5,SDG,NFL,16,16,225.6,277.6,14.10,17.35,0,0,0,0,0,292,1110,11,52,426,1,1
289,Ricky Watters\WattRi00,1994,25,2-45,SFO,NFL,16,16,225.6,291.6,14.10,18.23,0,0,0,0,0,239,877,6,66,719,5,8
290,Kevin Jones\JoneKe02,2006,24,1-30,DET,NFL,12,12,168.9,229.9,14.08,19.16,0,0,0,0,0,181,689,6,61,520,2,5
291,Freeman McNeil\McNeFr00,1985,26,1-3,NYJ,NFL,14,13,196.8,234.8,14.06,16.77,0,0,0,0,0,294,1331,3,38,427,2,9
292,Jamal Anderson\AndeJa00,2001,29,7-201,ATL,NFL,3,3,42.1,45.1,14.03,15.03,0,0,0,0,0,55,190,1,3,111,1,1
293,Jamaal Charles\CharJa00,2014,28,3-73,KAN,NFL,15,15,210.4,250.4,14.03,16.69,0,0,0,0,0,206,1033,9,40,291,5,5
