,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
146,Marvin Harrison*\HarrMa00,2005,33,1-19,IND,NFL,15,15,186.6,268.6,12.44,17.91,0,0,0,0,0,0,0,0,82,1146,12,0
147,Mike Evans\EvanMi00,2018,25,1-7,TAM,NFL,16,16,198.4,284.4,12.40,17.78,0,0,0,0,0,0,0,0,86,1524,8,2
148,Greg Jennings\JennGr00,2010,27,2-52,GNB,NFL,16,16,198.4,274.4,12.40,17.15,0,0,0,0,0,1,-1,0,76,1265,12,2
149,Julian Edelman\EdelJu00,2015,29,7-232,NWE,NFL,9,9,111.5,172.5,12.39,19.17,0,0,0,0,0,3,23,0,61,692,7,1
150,James Lofton*\LoftJa00,1982,26,1-6,GNB,NFL,9,9,111.4,146.4,12.38,16.27,1,1,43,0,0,4,101,1,35,696,4,0
151,Terrell Owens*\OwenTe00,2006,33,3-89,DAL,NFL,16,15,198.0,283.0,12.38,17.69,0,0,0,0,0,0,0,0,85,1180,13,0
152,Jerry Rice*\RiceJe00,1988,26,1-16,SFO,NFL,16,16,197.9,261.9,12.37,16.37,1,3,14,0,1,13,107,1,64,1306,9,2
153,Miles Austin\AustMi00,2009,25,,DAL,NFL,16,9,197.8,278.8,12.36,17.43,0,0,0,0,0,2,-2,0,81,1320,11,1
154,Antonio Freeman\FreeAn00,1997,25,3-90,GNB,NFL,16,16,197.7,278.7,12.36,17.42,0,0,0,0,0,1,14,0,81,1243,12,1
155,Demaryius Thomas\ThomDe03,2012,25,1-22,DEN,NFL,16,16,197.4,291.4,12.34,18.21,0,0,0,0,0,0,0,0,94,1434,10,3
156,Mark Clayton\ClayMa00,1988,27,8-223,MIA,NFL,16,16,197.3,283.3,12.33,17.71,0,0,0,0,0,1,4,0,86,1129,14,0
157,Torry Holt\HoltTo00,2004,28,1-6,STL,NFL,16,16,197.2,291.2,12.33,18.20,0,0,0,0,0,0,0,0,94,1372,10,3
158,Michael Irvin*\IrviMi00,1991,25,1-11,DAL,NFL,16,16,197.3,290.3,12.33,18.14,0,0,0,0,0,0,0,0,93,1523,8,3
159,Drew Bennett\BennDr00,2004,26,,TEN,NFL,16,16,196.9,276.9,12.31,17.31,1,1,26,1,0,1,12,0,80,1247,11,3
160,Donte' Stallworth\StalDo00,2012,32,1-13,NWE,NFL,1,0,12.3,13.3,12.30,13.30,0,0,0,0,0,0,0,0,1,63,1,0
161,Chad Johnson\JohnCh01,2007,29,2-36,CIN,NFL,16,16,196.7,289.7,12.29,18.11,0,0,0,0,0,6,47,0,93,1440,8,2
162,Antonio Freeman\FreeAn00,1996,24,3-90,GNB,NFL,12,12,147.3,203.3,12.28,16.94,0,0,0,0,0,0,0,0,56,933,9,3
163,Mark Duper\DupeMa00,1986,27,2-52,MIA,NFL,16,16,196.3,263.3,12.27,16.46,0,0,0,0,0,1,-10,0,67,1313,11,0
164,Joey Galloway\GallJo00,1997,26,1-8,SEA,NFL,15,15,184.1,256.1,12.27,17.07,0,0,0,0,0,9,72,0,72,1049,12,1
165,Odell Beckham\BeckOd00,2016,24,1-12,NYG,NFL,16,16,195.6,296.6,12.23,18.54,0,0,0,0,0,1,9,0,101,1367,10,3
166,Chad Johnson\JohnCh01,2003,25,2-36,CIN,NFL,16,14,195.5,285.5,12.22,17.84,0,0,0,0,0,0,0,0,90,1355,10,0
167,Sammy Watkins\WatkSa00,2015,22,1-4,BUF,NFL,13,13,158.8,218.8,12.22,16.83,0,0,0,0,0,1,1,0,60,1047,9,0
168,J.T. Smith\SmitJT00,1989,34,,PHO,NFL,9,8,109.9,171.9,12.21,19.10,0,0,0,0,0,2,21,0,62,778,5,0
169,Mark Carrier\CarrMa00,1989,24,3-57,TAM,NFL,16,15,195.2,281.2,12.20,17.58,0,0,0,0,0,0,0,0,86,1422,9,1
170,Joey Galloway\GallJo00,2000,29,1-8,DAL,NFL,1,1,12.2,16.2,12.20,16.20,0,0,0,0,0,0,0,0,4,62,1,0
171,Alshon Jeffery\JeffAl00,2013,23,2-45,CHI,NFL,16,14,194.6,283.6,12.16,17.73,0,0,0,0,0,16,105,0,89,1421,7,3
172,Tim Brown*\BrowTi00,1995,29,1-6,OAK,NFL,16,16,194.2,283.2,12.14,17.70,0,0,0,0,0,0,0,0,89,1342,10,0
173,Adam Thielen\ThieAd00,2018,28,,MIN,NFL,16,16,194.3,307.3,12.14,19.21,0,0,0,0,0,5,30,0,113,1373,9,1
174,Gary Clark\ClarGa00,1987,25,2-55,WAS,NFL,12,11,145.6,201.6,12.13,16.80,0,0,0,0,0,1,0,0,56,1066,7,3
175,Gary Clark\ClarGa00,1991,29,2-55,WAS,NFL,16,16,194.0,264.0,12.13,16.50,0,0,0,0,0,1,0,0,70,1340,10,0
